Survival of family member(s) or self,1
Protecting the weak,1
Enjoying the pleasures of life,1
Acquiring money for a reason,1
Acquiring fame,1
Practicing and improving a skill,1
Obsession with a project or goal,1
Exploration and adventure,1
Discovering the truth about a personal matter,1
Gathering knowledge,1
Doing a favor,1
Fulfilling a last wish,1
Fulfilling a prophecy,1
Staying loyal to a promise or deal,1
Love,1
Exacting revenge,1
Killing a specific person or group,1
Enjoying the suffering of others,1
Seeking redemption,1
Escaping a past mistake,1
Proving themselves to others,1
Gaining power or influence,1
Maintaining control over a situation,1
Avoiding responsibility,1
Seeking belonging or acceptance,1
Protecting a secret,1
Avoiding a feared outcome,1
Pursuing justice for a past wrong,1
Restoring honor or reputation,1
Breaking free from an obligation,1
Serving a higher power or ideal,1
Outdoing a rival or enemy,1
Securing a stable future,1
Seeking recognition or validation,1
Correcting a past injustice,1
Following curiosity wherever it leads,1
Keeping someone/something specific safe at all costs,1
