Walks slowly,1
Walks fast,1
Speaks loudly,1
Speaks quietly,1
Speaks slowly,1
Speaks fast,1
Speaks in riddles,1
Stutters,1
Mumbles to himself/herself,1
Has a unique accent,1
Uses complex vocabulary,1
Dances or sings often,1
Stretches often,1
Coughs often,1
Gets distracted easily,1
Falls asleep at inappropriate moments,1
Forgets names,1
Repeats ideas as his/her own,1
Doesn't like a particular member of the group,1
Really likes a particular member of the group,1
Avoids eye contact,1
Maintains intense eye contact,1
Fidgets constantly,1
Cracks knuckles or joints often,1
Taps fingers or feet rhythmically,1
Pauses awkwardly before speaking,1
Echoes or repeats others’ words,1
Uses odd metaphors or comparisons,1
Refers to themselves in third person,1
Keeps personal space unusually large or small,1
Sniffs or smells things habitually,1
Counts or measures things under their breath,1
Collects small objects or trinkets,1
Adjusts clothing or gear repeatedly,1
Talks to animals or objects,1
Hums or whistles softly,1
Mispronounces certain words consistently,1
Overuses a specific phrase or catchphrase,1
