Has committed a crime no one knows about,1
Has a secret affair,1
Has a secret goal,1
Has a secret pleasure,1
Has a double life,1
Has an incurable illness,1
Has a special magical power or curse,1
Owes a lot of money,1
Is a member of an organization,1
Is afraid of a certain person or group,1
Hates his/her family,1
Is jealous of a specific person,1
Has a pet no one knows about,1
Has a magic item no one knows about,1
Has hidden a treasure in his/her house,1
Has a patron no one knows about,1
Has origins in a noble family,1
Uses a fake name,1
Has a bounty on his/her head,1
Has died in the past,1
Is being blackmailed,1
Is secretly working for an enemy,1
Is hiding their true identity or lineage,1
Has a forbidden relationship,1
Knows a dangerous secret about someone powerful,1
Is responsible for a past disaster,1
Has stolen something of great importance,1
Is secretly protecting someone,1
Is not who they claim to be,1
Has a hidden weakness that could be exploited,1
Is being hunted by someone dangerous,1
Has made a pact they cannot escape,1
Is hiding their true abilities,1
Has betrayed someone who trusts them,1
Is planning to betray someone,1
Is secretly observing or spying on others,1
Has a connection to a feared or hated group,1
Is hiding evidence of a crime,1
Is protecting a dangerous secret about themselves,1
Is living under a false past,1
