Bad posture,1
Bald,1
Beautiful,1
Big nose or ears,1
Cross-eyed,1
Pale,1
Short,1
Tall,1
Unique armor,1
Unique clothing,1
Unique jewelry,1
Unique emblem or symbol,1
Unusual eye color,1
Unusual hair color,1
Unusual hair or beard style,1
Scar or tattoo,1
Multiple scars or tattoos,1
Rare item or weapon,1
Paralyzed part,1
Mechanical part,1
Missing teeth,1
Unusual skin pattern or markings,1
Calloused hands or worn features,1
Always wears a mask or face covering,1
Always wears gloves,1
Distinctive scent (perfume, smoke, herbs),1
Unusual gait or limp,1
Long unkempt hair or beard,1
Perfectly groomed appearance at all times,1
Wears excessive or mismatched accessories,1
Carries a visible symbol of status or rank,1
Has a noticeable voice (raspy, smooth, booming),1
Unnaturally still or motionless presence,1
Eyes that seem to follow people unnervingly,1
